timestamp,temperature,rainfall,humidity,wind_direction,wind_speed
2024-06-01 00:00:00,29.2,0.0,77.6,150,2.6
2024-06-01 01:00:00,29.0,0.0,79.1,191,3.2
2024-06-01 02:00:00,28.9,0.0,81.3,177,3.3
2024-06-01 03:00:00,28.8,0.0,81.4,205,1.6
2024-06-01 04:00:00,28.8,0.0,80.8,229,2.2
2024-06-01 05:00:00,27.2,0.0,73.5,273,2.4
2024-06-01 06:00:00,26.1,0.0,80.6,2,3.4
2024-06-01 07:00:00,25.9,0.0,82.2,237,1.6
2024-06-01 08:00:00,25.0,0.0,93.2,171,1.3
2024-06-01 09:00:00,25.1,0.2,89.7,194,5.5
2024-06-01 10:00:00,25.8,0.0,87.2,134,2.9
2024-06-01 11:00:00,25.4,0.4,90.4,137,6.0
2024-06-01 12:00:00,25.5,0.2,89.7,108,2.8
2024-06-01 13:00:00,26.0,0.0,82.4,144,4.7
2024-06-01 14:00:00,26.0,0.0,83.4,167,4.9
2024-06-01 15:00:00,26.5,0.0,84.8,203,4.5
2024-06-01 16:00:00,27.0,0.0,81.7,165,4.7
2024-06-01 17:00:00,27.3,0.0,83.4,187,3.2
2024-06-01 18:00:00,27.3,0.0,82.8,196,4.4
2024-06-01 19:00:00,27.4,0.0,81.6,198,3.1
2024-06-01 20:00:00,27.3,0.0,82.4,209,3.5
2024-06-01 21:00:00,27.2,0.0,80.1,193,3.5
2024-06-01 22:00:00,27.2,0.0,80.8,181,1.8
2024-06-01 23:00:00,27.2,0.0,80.5,209,3.6
2024-06-02 00:00:00,27.3,0.0,81.0,209,2.7
2024-06-02 01:00:00,27.2,0.0,81.2,222,1.6
2024-06-02 02:00:00,27.0,0.0,80.7,216,0.9
2024-06-02 03:00:00,26.7,0.0,83.3,297,1.2
2024-06-02 04:00:00,26.4,0.0,87.0,305,1.3
2024-06-02 05:00:00,26.6,0.0,85.9,48,0.5
2024-06-02 06:00:00,26.4,0.0,87.5,316,1.8
2024-06-02 07:00:00,26.6,0.0,86.6,326,1.5
2024-06-02 08:00:00,27.0,0.0,83.9,21,0.3
2024-06-02 09:00:00,27.2,0.0,83.0,313,2.0
2024-06-02 10:00:00,29.5,0.0,75.2,248,1.3
2024-06-02 11:00:00,29.3,0.0,73.6,206,3.7
2024-06-02 12:00:00,29.5,0.0,71.7,202,3.8
2024-06-02 13:00:00,29.6,0.0,73.1,216,4.3
2024-06-02 14:00:00,28.7,0.0,76.8,206,3.6
2024-06-02 15:00:00,28.2,0.0,74.8,120,4.3
2024-06-02 16:00:00,27.3,0.0,82.1,134,3.1
2024-06-02 17:00:00,25.7,0.2,92.7,296,1.2
2024-06-02 18:00:00,25.2,0.2,93.3,111,7.1
2024-06-02 19:00:00,25.8,0.0,91.1,105,6.6
2024-06-02 20:00:00,25.9,0.0,88.5,137,2.7
2024-06-02 21:00:00,26.1,0.0,90.2,212,1.8
2024-06-02 22:00:00,26.3,0.0,89.1,125,2.5
2024-06-02 23:00:00,26.3,0.0,88.1,124,1.9
2024-06-03 00:00:00,26.4,0.0,86.5,96,2.9
2024-06-03 01:00:00,26.4,0.0,87.3,69,1.2
2024-06-03 02:00:00,26.3,0.0,88.7,33,1.2
2024-06-03 03:00:00,25.7,0.0,94.0,322,1.7
2024-06-03 04:00:00,25.5,0.0,95.6,307,1.4
2024-06-03 05:00:00,25.6,0.0,94.7,316,1.4
2024-06-03 06:00:00,25.9,0.0,91.9,221,1.5
2024-06-03 07:00:00,26.4,0.0,87.7,158,1.2
2024-06-03 08:00:00,27.0,0.0,84.9,116,1.6
2024-06-03 09:00:00,28.4,0.0,78.3,208,1.6
2024-06-03 10:00:00,29.4,0.0,72.1,322,1.4
2024-06-03 11:00:00,28.8,0.0,76.2,138,2.9
2024-06-03 12:00:00,29.1,0.0,71.1,119,3.9
2024-06-03 13:00:00,31.3,0.0,59.5,207,3.4
2024-06-03 14:00:00,31.8,0.0,53.8,99,4.0
2024-06-03 15:00:00,32.0,0.0,53.9,119,3.1
2024-06-03 16:00:00,30.4,0.0,62.0,125,3.8
2024-06-03 17:00:00,30.4,0.0,65.0,109,6.3
2024-06-03 18:00:00,26.8,0.0,76.9,325,4.5
2024-06-03 19:00:00,27.0,0.0,69.8,326,1.2
2024-06-03 20:00:00,27.8,0.0,64.1,65,1.0
2024-06-03 21:00:00,26.8,0.0,78.2,332,2.9
2024-06-03 22:00:00,26.7,0.0,81.5,350,1.6
2024-06-03 23:00:00,26.8,0.0,81.5,359,2.6
2024-06-04 00:00:00,27.4,0.0,80.7,8,2.5
2024-06-04 01:00:00,27.3,0.0,80.4,66,0.4
2024-06-04 02:00:00,27.3,0.0,82.1,318,2.1
2024-06-04 03:00:00,26.9,0.0,83.9,61,0.9
2024-06-04 04:00:00,27.0,0.0,85.3,356,1.2
2024-06-04 05:00:00,27.1,0.0,84.0,51,1.3
2024-06-04 06:00:00,27.1,0.0,83.7,90,1.0
2024-06-04 07:00:00,27.3,0.0,83.8,101,2.6
2024-06-04 08:00:00,27.8,0.0,82.3,96,2.7
2024-06-04 09:00:00,28.6,0.0,80.9,108,2.7
2024-06-04 10:00:00,28.9,0.0,79.1,116,6.6
