,id,name,latitude,longitude
S109,S109,Ang Mo Kio Avenue 5,1.3764,103.8492
S106,S106,Pulau Ubin,1.4168,103.9673
S117,S117,Banyan Road,1.256,103.679
S107,S107,East Coast Parkway,1.3135,103.9625
S104,S104,Woodlands Avenue 9,1.44387,103.78538
S115,S115,Tuas South Avenue 3,1.29377,103.61843
S116,S116,West Coast Highway,1.281,103.754
S60,S60,Sentosa,1.25,103.8279
S50,S50,Clementi Road,1.3337,103.7768
S43,S43,Kim Chuan Road,1.3399,103.8878
S24,S24,Upper Changi Road North,1.3678,103.9826
S06,S06,Paya Lebar,1.3524,103.9007
S111,S111,Scotts Road,1.31055,103.8365
S121,S121,Old Choa Chu Kang Road,1.37288,103.72244
S218,S218,Bukit Batok Street 34,1.36491,103.75065
S219,S219,Yio Chu Kang Road,1.37999,103.87643
S216,S216,Ang Mo Kio Avenue 10,1.36019,103.85335
S217,S217,Bishan Street 13,1.35041,103.85526
S214,S214,Tanjong Rhu,1.29911,103.88289
S215,S215,Geylang East Central,1.32785,103.88899
S213,S213,Coronation Walk,1.32427,103.8097
S81,S81,Punggol Central,1.4029,103.9092
S40,S40,Mandai Lake Road,1.4044,103.78962
S84,S84,Simei Avenue,1.3437,103.9444
S88,S88,Toa Payoh North,1.3427,103.8482
S89,S89,Tuas Road,1.31985,103.66162
S221,S221,Hougang Avenue 1,1.35691,103.89088
S222,S222,Henderson Road,1.28987,103.82364
S08,S08,Upper Thomson Road,1.3701,103.8271
S07,S07,Lornie Road,1.3415,103.8334
S220,S220,Compassvale Lane,1.38666,103.89797
S207,S207,Bedok Road,1.32485,103.95836
S208,S208,Changi East Close,1.3136,104.00317
S203,S203,Pasir Panjang,1.29164,103.7702
S201,S201,Clementi Park,1.32311,103.76714
S90,S90,Bukit Timah Road,1.3191,103.8191
S92,S92,South Buona Vista Road,1.2841,103.7886
S209,S209,Yishun Ring Road,1.42111,103.84472
S94,S94,Pasir Ris Street 51,1.3662,103.9528
S210,S210,Woodlands Centre,1.44003,103.76904
S211,S211,Kranji Road,1.42918,103.75711
S119,S119,Nicoll Highway,1.30105,103.8666
S113,S113,Marine Parade Road,1.30648,103.9104
S64,S64,Bukit Panjang Road,1.3824,103.7603
S66,S66,Kranji Way,1.4387,103.7363
S69,S69,Upper Peirce Reservoir Park,1.37,103.805
S123,S123,Towner Road,1.3214,103.8577
S29,S29,Pasir Ris Drive 12,1.387,103.935
S229,S229,Jurong West Street 42,1.35167,103.72195
S900,S900,Seletar Aerospace View,1.41284,103.86922
S227,S227,Woodlands Drive 62,1.43944,103.80389
S228,S228,Jurong West Street 73,1.34703,103.70073
S226,S226,Malan Road,1.27472,103.80389
S223,S223,Margaret Drive,1.29984,103.80264
S224,S224,Airport Boulevard,1.34392,103.98409
S71,S71,Kent Ridge Road,1.2923,103.7815
S33,S33,Jurong Pier Road,1.3081,103.71
S77,S77,Alexandra Road,1.2937,103.8125
S35,S35,Old Toh Tuck Road,1.3329,103.7556
S79,S79,Somerset Road,1.3004,103.8372
S78,S78,Poole Road,1.30703,103.89067
S112,S112,Lim Chu Kang Road,1.43854,103.70131
S230,S230,West Coast Road,1.30167,103.76444
S108,S108,Marina Gardens Drive,1.2799,103.8703
S44,S44,Nanyang Avenue,1.34583,103.68166
