date,time,location,datetime,latitude,longitude
2025-04-26,14:40,Riverside Road (near Junction of Riverside Road and Admiralty Road),2025-04-26T14:40:00,,
2025-04-21,15:18,Yishun Ave 7 (near intersection of Yishun St 22),2025-04-21T15:18:00,,
2025-04-20,17:19,Jln Pokok Serunai,2025-04-20T17:19:00,1.3136136,103.9365203
2025-04-20,17:19,Alexandra Rd (opp Alexis Condo),2025-04-20T17:19:00,,
2025-04-20,17:17,Junction of Boon Lay Way and Corporation Rd,2025-04-20T17:17:00,,
2025-04-20,17:15,KG Java Rd (Newton Circus to CTE),2025-04-20T17:15:00,,
2025-04-20,17:14,Junction of Stevens Rd and Balmoral Rd,2025-04-20T17:14:00,,
2025-04-20,17:13,Orchard Rd (Paterson Rd to Mt Elizabeth),2025-04-20T17:13:00,,
2025-04-20,17:12,Cambridge Rd,2025-04-20T17:12:00,1.3140414,103.8467845
2025-04-20,17:12,Carlisle Rd,2025-04-20T17:12:00,1.3141852,103.848291
2025-04-20,17:06,Junction of Sunset Dr and Sunset Way Rd,2025-04-20T17:06:00,,
2025-04-20,17:02,Hillcrest Rd (Watten Rise to Dunearn Rd),2025-04-20T17:02:00,,
2025-04-20,17:02,Thomson Rd (Balestier Rd to Novena Rise),2025-04-20T17:02:00,,
2025-04-20,17:00,Junction of Toa Payoh Lor 1 and Toa Payoh Lor 2,2025-04-20T17:00:00,,
2025-04-20,17:00,Junction of Lor Kismis and Toh Tuck Rise,2025-04-20T17:00:00,,
2025-04-20,16:56,Eng Kong Pl (Greenridge Cres to Eng Kong Gdn),2025-04-20T16:56:00,,
2025-04-20,16:48,Upp Paya Lebar Service Rd (Lim Teck Boo Rd to Rochdale Rd),2025-04-20T16:48:00,,
2025-04-20,16:48,Jln Lokam (near Upp Paya Lebar Rd),2025-04-20T16:48:00,,
2025-04-20,16:48,Thrift Dr (near Jln Usaha),2025-04-20T16:48:00,,
2025-04-20,16:36,KPE(ECP) after Buangkok East Dr Exit,2025-04-20T16:36:00,,
2025-04-15,16:55,TPE (Punggol West Flyover),2025-04-15T16:55:00,,
2025-04-15,16:28,Yishun Ave 7 (near intersection of Yishun St 22),2025-04-15T16:28:00,,
2025-04-13,14:15,Jln Pokok Serunai,2025-04-13T14:15:00,1.3136136,103.9365203
2025-04-13,14:15,Bt Timah Rd (Wilby Rd to Blackmore Dr),2025-04-13T14:15:00,,
2025-04-13,14:12,Lor Ong Lye (near Lor Lew Lian),2025-04-13T14:12:00,,
2025-04-13,14:11,Junction of Toa Payoh Lor 1 and Toa Payoh Lor 2,2025-04-13T14:11:00,,
2025-04-13,14:11,Eng Kong Pl (Greenridge Cres to Eng Kong Gdn),2025-04-13T14:11:00,,
2025-04-13,14:03,Upp Paya Lebar Service Rd (Lim Teck Boo Rd to Rochdale Rd),2025-04-13T14:03:00,,
2025-04-13,14:03,Jln Lokam (near Upp Paya Lebar Rd),2025-04-13T14:03:00,,
2025-04-13,14:03,Thrift Dr (near Jln Usaha),2025-04-13T14:03:00,,
2025-04-13,13:56,TPE Slip Rd towards Punggol Rd,2025-04-13T13:56:00,,
2025-04-13,13:53,KPE(ECP) after Buangkok East Dr Exit,2025-04-13T13:53:00,,
2025-04-13,13:51,TPE (Punggol West Flyover),2025-04-13T13:51:00,,
2025-04-13,13:49,Junction of Yishun Ave 2 and Yishun Ave 5,2025-04-13T13:49:00,,
2025-04-13,13:39,Yishun Avenue 7,2025-04-13T13:39:00,1.4367814,103.8291664
2025-04-05,18:35,Jln Arif,2025-04-05T18:35:00,1.3675659,103.8838855
2025-03-24,00:37,Thomson Rd (Balestier Rd to Novena Rise),2025-03-24T00:37:00,,
2025-03-24,00:33,Macpherson Rd OD (Siang Kuang Ave),2025-03-24T00:33:00,,
2025-03-24,00:29,Lor Gambir,2025-03-24T00:29:00,,
2025-03-24,00:28,Puay Hee Ave (near Siak Kew Ave),2025-03-24T00:28:00,,
2025-03-24,00:28,Siang Kuang Ave,2025-03-24T00:28:00,1.3302071,103.8737736
2025-03-24,00:28,Upp Paya Lebar Service Rd (Lim Teck Boo Rd to Rochdale Rd),2025-03-24T00:28:00,,
2025-03-24,00:28,Jln Lokam (near Upp Paya Lebar Rd),2025-03-24T00:28:00,,
2025-03-24,00:28,Thrift Dr (near Jln Usaha),2025-03-24T00:28:00,,
2025-03-24,00:23,Junction of Toa Payoh Lor 1 and Toa Payoh Lor 2,2025-03-24T00:23:00,,
2025-03-24,00:20,Langsat Rd (Everitt Rd North to Lor 106 Changi),2025-03-24T00:20:00,,
2025-03-24,00:20,Lor 105 Changi,2025-03-24T00:20:00,1.3897029,103.9871407
2025-03-24,00:15,Marine Parade Ctrl,2025-03-24T00:15:00,1.3016371,103.9070473
2025-03-24,00:15,Marine Parade Rd,2025-03-24T00:15:00,1.3089843,103.9257357
2025-03-24,00:12,East Coast Rd,2025-03-24T00:12:00,1.3088459,103.9118515
2025-03-23,01:31,Mountbatten Road/Jalan Seaview,2025-03-23T01:31:00,,
2025-03-20,13:50,Mountbatten Road/Jalan Seaview,2025-03-20T13:50:00,,
2025-03-20,13:40,ECP (towards Changi Airport) after Bayshore Rd Exit,2025-03-20T13:40:00,,
2025-03-20,10:20,ECP (towards Changi Airport) at Tanah Merah Coast Road Entrance,2025-03-20T10:20:00,,
2025-03-20,07:40,PIE (towards Changi Airport) after TPE,2025-03-20T07:40:00,,
2025-03-19,14:45,Mountbatten Road / Jalan Seaview,2025-03-19T14:45:00,,
2025-03-08,15:20,Lor Buangkok (near Kampung Buangkok),2025-03-08T15:20:00,,
2025-03-08,15:20,"Sim Ave East (towards New Upper Changi Rd), from Lengkong Tiga to Jln Kembangan",2025-03-08T15:20:00,,
2025-03-08,15:10,Aljunied Rd under PIE Flyover,2025-03-08T15:10:00,,
2025-02-17,16:30,Braddell Road (towards Bartley) after Toa Payoh,2025-02-17T16:30:00,,
2025-02-17,15:56,Lor Gambir,2025-02-17T15:56:00,,
2025-02-15,16:20,Happy Ave North,2025-02-15T16:20:00,1.3312203,103.8818124
2025-02-15,16:08,Wan Tho Ave (Pheng Geck Ave),2025-02-15T16:08:00,,
2025-02-15,16:08,Upp Paya Lebar Service Rd (Lim Teck Boo Rd to Rochdale Rd),2025-02-15T16:08:00,,
2025-02-15,16:08,Jln Lokam (near Upp Paya Lebar Rd),2025-02-15T16:08:00,,
2025-02-15,16:08,Thrift Dr (near Jln Usaha),2025-02-15T16:08:00,,
2025-02-15,16:06,Lor Gambir,2025-02-15T16:06:00,,
2025-02-15,16:04,Puay Hee Ave (near Siak Kew Ave),2025-02-15T16:04:00,,
2025-02-15,16:04,Siang Kuang Ave,2025-02-15T16:04:00,1.3302071,103.8737736
2025-02-15,15:54,Junction of Toa Payoh Lor 1 and Toa Payoh Lor 2,2025-02-15T15:54:00,,
2025-01-10,21:15,Jln Pokok Serunai,2025-01-10T21:15:00,1.3136136,103.9365203
2025-01-10,20:02,Jln Seaview,2025-01-10T20:02:00,1.2993119,103.8954604
2025-01-10,20:02,Junction of Mtbatten Rd and TG Katong Rd South,2025-01-10T20:02:00,,
2025-01-10,19:23,Jln Seaview,2025-01-10T19:23:00,1.2993119,103.8954604
2025-01-10,19:23,Junction of Mtbatten Rd and TG Katong Rd South,2025-01-10T19:23:00,,
2024-12-29,16:57,Thomson Rd (Balestier Rd to Novena Rise),2024-12-29T16:57:00,,
2024-12-29,16:56,Queen's Rd,2024-12-29T16:56:00,1.3208441,103.8095081
2024-12-29,16:54,Puay Hee Ave (near Siak Kew Ave),2024-12-29T16:54:00,,
