hour_index,grid_i,grid_j
11558,65,38
11439,64,51
11417,36,74
11417,30,45
11417,42,25
11417,36,52
11417,36,50
11417,34,51
11417,36,54
11417,36,54
11417,39,36
11417,39,45
11417,39,53
11417,41,53
11417,41,36
11416,40,36
11416,42,62
11416,43,62
11416,43,62
11416,50,68
11296,55,67
11296,64,51
11246,36,74
11246,40,40
11246,44,61
11246,41,53
11246,40,36
11246,42,62
11246,43,62
11246,43,62
11245,54,66
11245,50,68
11245,55,67
11245,62,51
11245,64,51
11058,48,62
10752,39,53
10752,40,61
10752,43,60
10752,40,59
10752,39,59
10752,42,62
10752,43,62
10752,43,62
10752,41,53
10752,43,84
10752,36,66
10752,33,67
10752,34,69
10752,35,69
10729,33,65
10669,33,65
10669,46,85
10666,46,85
10663,42,81
10646,33,65
10383,51,61
10383,38,68
10383,38,61
9928,42,56
9927,43,60
9880,40,61
9880,40,59
9880,42,62
9880,43,62
9880,43,62
9880,43,60
9880,40,59
9880,39,59
9879,41,53
9021,36,74
9020,33,65
9020,33,65
9019,33,65
9019,33,65
8728,39,53
8728,37,46
8728,40,59
8728,39,59
8728,38,36
8728,39,36
8728,39,45
8728,42,62
8728,43,62
8728,43,62
8728,28,53
8728,43,52
8728,30,54
8728,40,40
8728,41,40
8728,41,36
8728,40,36
8728,41,53
8728,43,60
8728,50,33
8415,41,73
8415,36,74
8415,42,62
8415,43,62
8415,43,62
8415,43,60
8299,42,62
8299,43,62
8299,43,62
8107,37,75
8107,36,74
8107,38,71
8107,43,60
7998,40,40
7998,41,40
7998,31,37
7998,40,23
7888,40,23
7866,43,60
7839,39,77
7839,33,65
7839,33,65
7839,50,33
7839,38,61
7839,40,77
7839,45,58
7839,40,61
7838,42,62
7838,43,60
7838,45,58
7838,46,58
7838,40,63
7838,39,62
7838,40,61
7838,40,59
7838,42,61
7838,40,59
7838,39,59
7838,40,61
7838,44,61
7718,40,23
7717,28,53
7717,29,54
7695,55,67
7695,31,37
7695,40,23
7695,40,40
7695,39,36
7695,38,36
7695,41,36
7694,40,36
7694,57,34
7694,41,40
7543,42,62
7543,43,62
7543,43,62
7543,43,60
7543,28,53
7400,43,60
7400,42,62
7400,43,62
7400,43,62
7334,43,60
7021,43,60
6897,44,48
6897,37,37
6897,38,37
6897,38,77
6897,39,77
6897,44,48
6897,37,37
6897,38,37
6897,40,77
6897,40,77
6897,33,65
6897,33,65
6897,36,68
6897,36,68
6896,37,37
6896,35,69
6896,31,37
6896,36,74
6896,40,23
6896,40,40
6896,38,36
6896,39,36
6896,41,40
6895,40,36
6895,41,36
6895,40,23
6895,40,27
6700,28,53
6569,43,60
6569,55,67
6444,28,42
6443,40,23
6421,62,51
6399,40,23
6259,43,60
5680,38,36
5679,38,36
5661,40,23
5198,40,23
5105,28,53
4647,43,84
4647,36,66
4647,38,61
4647,42,62
4647,43,62
4647,43,62
4519,40,23
4519,40,23
4329,28,53
4155,34,54
4154,40,23
4131,43,60
4012,36,74
4011,34,54
4011,28,53
4009,36,74
3234,28,53
3233,41,53
3233,42,62
3233,43,62
3233,43,62
3233,43,60
3233,40,23
2989,44,75
2986,40,23
2986,40,23
2984,36,74
2984,55,67
2983,42,62
2983,43,62
2983,43,62
2983,28,53
2982,33,65
2982,33,65
2679,40,23
2657,28,53
2509,40,23
2457,42,62
2457,43,60
2457,55,65
2367,40,23
2366,43,60
2272,37,62
2271,39,59
2271,42,62
2271,43,60
2178,57,34
2178,51,32
1888,43,60
1888,43,60
1598,55,65
1551,43,60
1550,43,60
1550,42,54
1536,55,65
1535,28,53
1045,33,65
1045,35,73
1044,36,66
1020,36,12
1020,39,77
1020,37,69
1020,39,77
1019,39,77
1019,39,77
996,36,12
881,55,65
881,35,73
881,42,62
881,43,60
810,39,36
810,41,40
810,41,40
810,43,39
810,41,40
810,39,36
810,40,27
809,40,23
809,45,28
809,41,37
809,40,36
590,35,73
574,32,62
573,43,60
573,28,53
572,28,53
572,39,45
572,39,59
572,37,62
572,40,61
572,43,60
569,40,61
569,43,60
568,45,28
568,51,32
567,40,23
567,31,37
544,55,65
327,50,25
276,36,5
275,36,5
275,36,5
