datetime,location,latitude,longitude,flood,temperature_nearest_value,temperature_nearest_distance,temperature_nearest_station,rainfall_nearest_value,rainfall_nearest_distance,rainfall_nearest_station,humidity_nearest_value,humidity_nearest_distance,humidity_nearest_station,wind_direction_nearest_value,wind_direction_nearest_distance,wind_direction_nearest_station,wind_speed_nearest_value,wind_speed_nearest_distance,wind_speed_nearest_station
2025-04-26T14:40:00,Riverside Road (near Junction of Riverside Road and Admiralty Road),1.4304,103.8354,1,25.4,5.7622856245291,Woodlands Avenue 9,0.0,1.4597822983363102,Yishun Ring Road,99.7,5.7622856245291,Woodlands Avenue 9,317.0,11.582160621520307,Kim Chuan Road,6.3,11.582160621520307,Kim Chuan Road
2025-04-20T17:19:00,Jln Pokok Serunai,1.3136136,103.9365203,1,26.0,2.89131935540986,East Coast Parkway,0.0,2.89131935540986,East Coast Parkway,89.5,2.89131935540986,East Coast Parkway,276.0,2.89131935540986,East Coast Parkway,5.4,2.89131935540986,East Coast Parkway
2025-04-20T17:19:00,Alexandra Rd (opp Alexis Condo),1.2910763,103.8212604,1,23.1,2.741026365571302,Scotts Road,13.5,0.2965238675838551,Henderson Road,99.3,2.741026365571302,Scotts Road,313.0,2.741026365571302,Scotts Road,8.6,2.741026365571302,Scotts Road
2025-04-20T17:17:00,Junction of Boon Lay Way and Corporation Rd,1.3246,103.7055,1,24.6,3.5425887065997,Nanyang Avenue,4.0,1.8919707605280875,Jurong Pier Road,96.6,3.5425887065997,Nanyang Avenue,100.0,3.5425887065997,Nanyang Avenue,5.1,3.5425887065997,Nanyang Avenue
2025-04-20T17:15:00,KG Java Rd (Newton Circus to CTE),1.3087422,103.8471909,1,23.3,1.2064722054180137,Scotts Road,6.0,1.2064722054180137,Scotts Road,99.3,1.2064722054180137,Scotts Road,314.0,1.2064722054180137,Scotts Road,8.1,1.2064722054180137,Scotts Road
2025-04-20T17:14:00,Junction of Stevens Rd and Balmoral Rd,1.3521,103.8198,1,23.3,4.956061241628442,Scotts Road,7.8,1.9143082025139122,Lornie Road,99.3,4.956061241628442,Scotts Road,315.0,4.956061241628442,Scotts Road,8.2,4.956061241628442,Scotts Road
2025-04-20T17:13:00,Orchard Rd (Paterson Rd to Mt Elizabeth),1.3036,103.8318,1,23.3,0.9296146300829555,Scotts Road,8.4,0.697401357080145,Somerset Road,99.3,0.9296146300829555,Scotts Road,321.0,0.9296146300829555,Scotts Road,8.2,0.9296146300829555,Scotts Road
2025-04-20T17:12:00,Cambridge Rd,1.3140414,103.8467845,1,23.2,1.2079225297390161,Scotts Road,6.4,1.2079225297390161,Scotts Road,99.3,1.2079225297390161,Scotts Road,328.0,1.2079225297390161,Scotts Road,8.2,1.2079225297390161,Scotts Road
2025-04-20T17:12:00,Carlisle Rd,1.3141852,103.848291,1,23.2,1.3724105122407255,Scotts Road,2.0,1.3164067961008774,Towner Road,99.3,1.3724105122407255,Scotts Road,328.0,1.3724105122407255,Scotts Road,8.2,1.3724105122407255,Scotts Road
2025-04-20T17:06:00,Junction of Sunset Dr and Sunset Way Rd,1.3521,103.8198,1,23.2,4.956061241628442,Scotts Road,8.4,1.9143082025139122,Lornie Road,99.3,4.956061241628442,Scotts Road,2.0,4.956061241628442,Scotts Road,9.1,4.956061241628442,Scotts Road
2025-04-20T17:02:00,Hillcrest Rd (Watten Rise to Dunearn Rd),1.3362791,103.8076496,1,24.1,3.445059969336063,Clementi Road,10.4,1.34736813371936,Coronation Walk,0.0,3.445059969336063,Clementi Road,359.0,3.445059969336063,Clementi Road,8.0,3.445059969336063,Clementi Road
2025-04-20T17:02:00,Thomson Rd (Balestier Rd to Novena Rise),1.3203,103.8438,1,23.4,1.349939147486466,Scotts Road,10.2,1.349939147486466,Scotts Road,99.3,1.349939147486466,Scotts Road,3.0,1.349939147486466,Scotts Road,9.4,1.349939147486466,Scotts Road
2025-04-20T17:00:00,Junction of Toa Payoh Lor 1 and Toa Payoh Lor 2,1.334,103.8471,1,23.6,2.848715578972751,Scotts Road,6.8,0.9697592779814542,Toa Payoh North,99.3,2.848715578972751,Scotts Road,1.0,2.848715578972751,Scotts Road,8.9,2.848715578972751,Scotts Road
