date,time,location,datetime
2025-04-26,15:18,"Riverside Road (near Junction of Riverside Road and Admiralty Road) [Issued 14:40 hours]
PUB
@PUBsingapore
·
Apr 21
[Risk of Flash Floods]

Due to heavy rain, please avoid this location for the next 1 hour: Yishun Ave 7 (near intersection of Yishun St 22)",2025-04-26T15:18:00
2025-04-20,17:19,Jln Pokok Serunai,2025-04-20T17:19:00
2025-04-20,17:19,Alexandra Rd (opp Alexis Condo),2025-04-20T17:19:00
2025-04-20,17:17,Junction of Boon Lay Way and Corporation Rd,2025-04-20T17:17:00
2025-04-20,17:15,KG Java Rd (Newton Circus to CTE),2025-04-20T17:15:00
2025-04-20,17:14,Junction of Stevens Rd and Balmoral Rd,2025-04-20T17:14:00
2025-04-20,17:13,Orchard Rd (Paterson Rd to Mt Elizabeth),2025-04-20T17:13:00
2025-04-20,17:12,Cambridge Rd,2025-04-20T17:12:00
2025-04-20,17:12,Carlisle Rd,2025-04-20T17:12:00
2025-04-20,17:06,Junction of Sunset Dr and Sunset Way Rd,2025-04-20T17:06:00
2025-04-20,17:02,Hillcrest Rd (Watten Rise to Dunearn Rd),2025-04-20T17:02:00
2025-04-20,17:02,Thomson Rd (Balestier Rd to Novena Rise),2025-04-20T17:02:00
2025-04-20,17:00,Junction of Toa Payoh Lor 1 and Toa Payoh Lor 2,2025-04-20T17:00:00
2025-04-20,17:00,Junction of Lor Kismis and Toh Tuck Rise,2025-04-20T17:00:00
2025-04-20,16:56,Eng Kong Pl (Greenridge Cres to Eng Kong Gdn),2025-04-20T16:56:00
2025-04-20,16:48,Upp Paya Lebar Service Rd (Lim Teck Boo Rd to Rochdale Rd),2025-04-20T16:48:00
2025-04-20,16:48,Jln Lokam (near Upp Paya Lebar Rd),2025-04-20T16:48:00
2025-04-20,16:48,Thrift Dr (near Jln Usaha),2025-04-20T16:48:00
2025-04-20,16:36,KPE(ECP) after Buangkok East Dr Exit,2025-04-20T16:36:00
2025-04-15,16:55,TPE (Punggol West Flyover),2025-04-15T16:55:00
2025-04-15,16:28,Yishun Ave 7 (near intersection of Yishun St 22),2025-04-15T16:28:00
2025-04-13,14:15,Jln Pokok Serunai,2025-04-13T14:15:00
2025-04-13,14:15,Bt Timah Rd (Wilby Rd to Blackmore Dr),2025-04-13T14:15:00
2025-04-13,14:12,Lor Ong Lye (near Lor Lew Lian),2025-04-13T14:12:00
2025-04-13,14:11,Junction of Toa Payoh Lor 1 and Toa Payoh Lor 2,2025-04-13T14:11:00
2025-04-13,14:11,Eng Kong Pl (Greenridge Cres to Eng Kong Gdn),2025-04-13T14:11:00
2025-04-13,14:03,Upp Paya Lebar Service Rd (Lim Teck Boo Rd to Rochdale Rd),2025-04-13T14:03:00
2025-04-13,14:03,Jln Lokam (near Upp Paya Lebar Rd),2025-04-13T14:03:00
2025-04-13,14:03,Thrift Dr (near Jln Usaha),2025-04-13T14:03:00
2025-04-13,13:56,TPE Slip Rd towards Punggol Rd,2025-04-13T13:56:00
2025-04-13,13:53,KPE(ECP) after Buangkok East Dr Exit,2025-04-13T13:53:00
2025-04-13,13:51,TPE (Punggol West Flyover),2025-04-13T13:51:00
2025-04-13,13:49,Junction of Yishun Ave 2 and Yishun Ave 5,2025-04-13T13:49:00
2025-04-13,13:39,Yishun Avenue 7,2025-04-13T13:39:00
2025-04-05,18:35,Jln Arif,2025-04-05T18:35:00
2025-03-24,00:37,Thomson Rd (Balestier Rd to Novena Rise),2025-03-24T00:37:00
2025-03-24,00:33,Macpherson Rd OD (Siang Kuang Ave),2025-03-24T00:33:00
2025-03-24,00:29,Lor Gambir,2025-03-24T00:29:00
