timestamp,temperature,rainfall,humidity,wind_direction,wind_speed
2024-04-01 00:00:00,28.8,0.0,73.8,52,1.5
2024-04-01 01:00:00,28.7,0.0,74.8,57,2.0
2024-04-01 02:00:00,28.0,0.0,77.2,169,0.8
2024-04-01 03:00:00,28.3,0.0,76.0,78,1.2
2024-04-01 04:00:00,27.7,0.0,78.8,169,0.8
2024-04-01 05:00:00,28.0,0.0,77.9,173,0.8
2024-04-01 06:00:00,28.0,0.0,77.5,220,0.8
2024-04-01 07:00:00,27.8,0.0,79.8,310,0.9
2024-04-01 08:00:00,27.8,0.0,81.3,85,1.1
2024-04-01 09:00:00,28.7,0.0,78.0,123,1.3
2024-04-01 10:00:00,30.0,0.0,74.2,27,2.7
2024-04-01 11:00:00,30.6,0.0,68.0,12,4.0
2024-04-01 12:00:00,31.6,0.0,61.9,6,4.2
2024-04-01 13:00:00,32.8,0.0,53.6,350,3.7
2024-04-01 14:00:00,31.9,0.0,67.0,249,5.2
2024-04-01 15:00:00,31.3,0.0,71.5,248,5.1
2024-04-01 16:00:00,29.4,0.2,77.2,16,2.5
2024-04-01 17:00:00,31.0,0.0,68.9,216,3.0
2024-04-01 18:00:00,30.7,0.0,69.0,180,1.0
2024-04-01 19:00:00,30.8,0.0,66.0,155,0.7
2024-04-01 20:00:00,30.3,0.0,70.6,174,1.1
2024-04-01 21:00:00,30.1,0.0,74.0,170,0.9
2024-04-01 22:00:00,29.9,0.0,72.8,166,0.9
2024-04-01 23:00:00,29.5,0.0,73.9,154,0.9
2024-04-02 00:00:00,29.5,0.0,74.8,158,1.0
2024-04-02 01:00:00,29.3,0.0,75.4,162,1.0
2024-04-02 02:00:00,29.2,0.0,76.3,174,0.8
2024-04-02 03:00:00,28.9,0.0,77.7,176,0.7
2024-04-02 04:00:00,28.7,0.0,78.2,175,0.9
2024-04-02 05:00:00,28.5,0.0,79.8,159,0.7
2024-04-02 06:00:00,28.5,0.0,79.1,154,0.8
2024-04-02 07:00:00,28.4,0.0,79.4,160,0.7
2024-04-02 08:00:00,28.8,0.0,78.2,215,1.6
2024-04-02 09:00:00,29.0,0.0,79.0,43,1.6
2024-04-02 10:00:00,29.8,0.0,76.2,268,1.7
2024-04-02 11:00:00,30.8,0.0,73.0,293,3.4
2024-04-02 12:00:00,33.0,0.0,57.9,245,4.2
2024-04-02 13:00:00,32.4,0.0,64.4,249,5.8
2024-04-02 14:00:00,32.8,0.0,58.2,254,5.4
2024-04-02 15:00:00,33.6,0.0,53.2,242,4.8
2024-04-02 16:00:00,32.6,0.0,60.3,251,6.1
2024-04-02 17:00:00,32.5,0.0,56.1,254,5.2
2024-04-02 18:00:00,32.9,0.0,55.6,247,4.4
2024-04-02 19:00:00,32.1,0.0,57.7,203,3.9
2024-04-02 20:00:00,30.7,0.0,71.5,143,0.9
2024-04-02 21:00:00,30.9,0.0,69.5,157,1.1
2024-04-02 22:00:00,30.7,0.0,69.7,161,0.9
2024-04-02 23:00:00,30.3,0.0,70.6,159,0.7
2024-04-03 00:00:00,30.3,0.0,71.7,169,0.9
2024-04-03 01:00:00,30.0,0.0,75.2,165,0.7
2024-04-03 02:00:00,29.9,0.0,74.3,161,0.8
2024-04-03 03:00:00,29.7,0.0,75.6,172,0.8
2024-04-03 04:00:00,29.7,0.0,74.3,154,0.9
2024-04-03 05:00:00,29.6,0.0,72.7,159,0.8
2024-04-03 06:00:00,29.4,0.0,74.0,161,0.8
2024-04-03 07:00:00,29.5,0.0,74.6,161,0.9
2024-04-03 08:00:00,29.8,0.0,73.9,163,0.7
2024-04-03 09:00:00,30.5,0.0,71.8,222,2.5
2024-04-03 10:00:00,30.0,0.0,75.1,26,2.6
2024-04-03 11:00:00,29.9,0.0,77.4,207,2.1
2024-04-03 12:00:00,30.4,0.0,73.2,264,2.4
2024-04-03 13:00:00,29.6,0.0,74.2,163,0.6
2024-04-03 14:00:00,31.1,0.0,69.7,253,3.8
2024-04-03 15:00:00,32.1,0.0,59.6,267,6.1
2024-04-03 16:00:00,29.9,0.0,74.0,41,2.6
2024-04-03 17:00:00,29.5,0.0,71.6,184,1.2
2024-04-03 18:00:00,30.4,0.0,66.0,26,1.6
2024-04-03 19:00:00,30.2,0.0,66.0,92,1.1
2024-04-03 20:00:00,29.7,0.0,68.8,179,0.7
2024-04-03 21:00:00,29.4,0.0,72.7,21,1.2
2024-04-03 22:00:00,28.7,0.0,77.2,44,1.2
2024-04-03 23:00:00,28.6,0.0,79.2,21,1.5
2024-04-04 00:00:00,28.7,0.0,79.6,321,1.3
2024-04-04 01:00:00,28.5,0.0,81.3,17,1.4
2024-04-04 02:00:00,28.5,0.0,80.0,14,1.0
2024-04-04 03:00:00,28.2,0.0,79.9,31,1.7
2024-04-04 04:00:00,27.8,0.0,82.7,44,1.8
2024-04-04 05:00:00,27.8,0.0,83.1,2,1.9
2024-04-04 06:00:00,27.7,0.0,82.4,27,1.6
2024-04-04 07:00:00,27.6,0.0,84.0,204,0.9
2024-04-04 08:00:00,28.2,0.0,80.1,284,1.1
2024-04-04 09:00:00,29.3,0.0,76.4,51,1.2
2024-04-04 10:00:00,29.9,0.0,73.0,29,2.6
2024-04-04 11:00:00,31.4,0.0,65.4,24,3.7
2024-04-04 12:00:00,31.6,0.0,70.2,286,5.2
2024-04-04 13:00:00,31.5,0.0,69.9,261,5.4
2024-04-04 14:00:00,31.6,0.0,66.4,259,8.0
2024-04-04 15:00:00,30.9,0.0,72.0,259,8.5
2024-04-04 16:00:00,31.0,0.0,70.6,246,5.3
2024-04-04 17:00:00,30.7,0.0,74.2,238,2.4
2024-04-04 18:00:00,31.0,0.0,68.5,215,2.3
2024-04-04 19:00:00,29.3,0.0,78.1,98,1.2
2024-04-04 20:00:00,29.3,0.0,75.5,46,2.5
2024-04-04 21:00:00,28.2,0.0,76.9,136,0.8
2024-04-04 22:00:00,28.6,0.0,75.6,230,0.7
2024-04-04 23:00:00,28.8,0.0,74.9,252,1.6
2024-04-05 00:00:00,28.1,0.0,79.0,339,1.5
2024-04-05 01:00:00,28.2,0.0,76.0,211,1.5
2024-04-05 02:00:00,27.5,0.0,73.5,103,0.9
2024-04-05 03:00:00,27.7,0.0,69.8,142,1.0
2024-04-05 04:00:00,27.9,0.0,67.6,123,0.9
2024-04-05 05:00:00,28.5,0.0,71.7,283,2.3
2024-04-05 06:00:00,28.2,0.0,74.9,19,1.8
2024-04-05 07:00:00,27.7,0.0,77.8,58,0.6
2024-04-05 08:00:00,28.2,0.0,76.4,249,1.3
2024-04-05 09:00:00,29.1,0.0,74.8,315,1.5
2024-04-05 10:00:00,29.4,0.0,76.6,33,2.8
2024-04-05 11:00:00,30.9,0.0,65.8,15,3.9
2024-04-05 12:00:00,32.5,0.0,60.6,24,4.1
2024-04-05 13:00:00,33.4,0.0,57.5,26,3.8
2024-04-05 14:00:00,31.2,0.0,70.8,272,7.0
2024-04-05 15:00:00,32.1,0.0,66.3,254,5.8
2024-04-05 16:00:00,33.4,0.0,64.8,236,4.0
2024-04-05 17:00:00,32.8,0.0,66.2,246,4.5
2024-04-05 18:00:00,32.7,0.0,65.5,222,5.7
2024-04-05 19:00:00,31.2,0.0,69.2,188,2.7
2024-04-05 20:00:00,31.1,0.0,65.8,193,2.3
2024-04-05 21:00:00,30.5,0.0,62.5,146,1.0
2024-04-05 22:00:00,29.7,0.0,67.0,167,1.1
2024-04-05 23:00:00,29.5,0.0,70.1,169,0.9
2024-04-06 00:00:00,29.4,0.0,70.2,128,1.0
2024-04-06 01:00:00,29.2,0.0,71.2,160,0.9
2024-04-06 02:00:00,28.7,0.0,72.5,188,0.6
2024-04-06 03:00:00,28.5,0.0,74.2,203,0.8
2024-04-06 04:00:00,28.3,0.0,74.9,160,0.7
2024-04-06 05:00:00,28.3,0.0,74.7,195,0.8
2024-04-06 06:00:00,28.2,0.0,75.4,180,0.7
2024-04-06 07:00:00,28.4,0.0,74.8,315,1.0
2024-04-06 08:00:00,28.5,0.0,75.3,243,0.9
2024-04-06 09:00:00,29.6,0.0,71.1,58,1.3
2024-04-06 10:00:00,31.1,0.0,64.5,342,2.5
2024-04-06 11:00:00,32.0,0.0,59.1,90,2.0
2024-04-06 12:00:00,34.1,0.0,49.8,51,3.4
2024-04-06 13:00:00,33.3,0.0,53.2,22,4.1
2024-04-06 14:00:00,32.8,0.0,58.9,296,3.9
2024-04-06 15:00:00,32.9,0.0,58.4,190,3.2
2024-04-06 16:00:00,32.7,0.0,58.7,186,3.2
2024-04-06 17:00:00,32.4,0.0,61.3,173,2.5
2024-04-06 18:00:00,31.9,0.0,64.8,167,2.4
2024-04-06 19:00:00,31.6,0.0,66.4,154,2.0
2024-04-06 20:00:00,31.6,0.0,62.9,90,1.2
2024-04-06 21:00:00,30.7,0.0,65.5,76,1.6
2024-04-06 22:00:00,30.1,0.0,68.9,141,0.9
2024-04-06 23:00:00,30.1,0.0,70.4,139,0.9
2024-04-07 00:00:00,29.7,0.0,71.5,170,0.8
2024-04-07 01:00:00,29.6,0.0,71.1,119,1.1
2024-04-07 02:00:00,29.4,0.0,72.0,150,0.9
2024-04-07 03:00:00,29.5,0.0,71.7,77,1.2
2024-04-07 04:00:00,29.2,0.0,73.7,56,1.3
2024-04-07 05:00:00,28.7,0.0,75.8,155,0.8
2024-04-07 06:00:00,28.6,0.0,76.9,108,0.9
2024-04-07 07:00:00,28.5,0.0,76.8,112,0.8
2024-04-07 08:00:00,28.8,0.0,76.1,130,1.0
2024-04-07 09:00:00,29.9,0.0,70.4,38,2.3
2024-04-07 10:00:00,31.1,0.0,64.9,25,3.6
2024-04-07 11:00:00,32.8,0.0,56.7,327,2.2
2024-04-07 12:00:00,34.2,0.0,53.3,22,2.6
2024-04-07 13:00:00,32.4,0.0,59.8,14,4.4
2024-04-07 14:00:00,34.0,0.0,57.4,241,4.5
2024-04-07 15:00:00,33.0,0.0,65.0,247,5.6
2024-04-07 16:00:00,27.5,0.6,84.0,219,1.9
2024-04-07 17:00:00,29.7,0.0,71.2,261,0.9
2024-04-07 18:00:00,30.7,0.0,68.1,70,1.3
2024-04-07 19:00:00,30.6,0.0,68.1,145,0.8
2024-04-07 20:00:00,30.4,0.0,68.9,159,1.0
2024-04-07 21:00:00,30.3,0.0,69.2,51,2.3
2024-04-07 22:00:00,29.9,0.0,69.8,66,1.4
2024-04-07 23:00:00,29.9,0.0,70.2,46,2.2
2024-04-08 00:00:00,29.6,0.0,72.2,185,0.7
2024-04-08 01:00:00,29.5,0.0,71.4,174,0.8
2024-04-08 02:00:00,29.5,0.0,72.0,161,1.0
2024-04-08 03:00:00,29.5,0.0,72.8,172,0.7
2024-04-08 04:00:00,29.5,0.0,71.8,152,0.8
2024-04-08 05:00:00,29.3,0.0,74.0,195,0.8
2024-04-08 06:00:00,29.4,0.0,74.3,159,0.8
2024-04-08 07:00:00,29.2,0.0,75.3,245,1.4
2024-04-08 08:00:00,29.5,0.0,76.5,207,3.0
2024-04-08 09:00:00,30.1,0.0,75.3,232,2.7
2024-04-08 10:00:00,30.2,0.0,74.3,285,4.1
2024-04-08 11:00:00,30.0,0.0,77.3,279,6.9
2024-04-08 12:00:00,28.3,0.0,80.9,297,3.9
2024-04-08 13:00:00,29.5,0.0,77.3,281,7.0
2024-04-08 14:00:00,30.9,0.0,71.8,277,7.5
2024-04-08 15:00:00,29.9,0.0,74.6,273,9.39999
2024-04-08 16:00:00,24.9,0.6,92.8,33,1.9
2024-04-08 17:00:00,26.9,0.0,87.5,15,2.5
2024-04-08 18:00:00,28.2,0.0,80.0,31,1.9
2024-04-08 19:00:00,27.9,0.0,82.1,62,0.8
2024-04-08 20:00:00,27.9,0.0,83.6,187,0.7
2024-04-08 21:00:00,28.7,0.0,80.7,330,1.1
2024-04-08 22:00:00,28.5,0.0,84.5,329,0.8
2024-04-08 23:00:00,28.6,0.0,81.3,295,0.8
2024-04-09 00:00:00,28.5,0.0,80.4,198,0.7
2024-04-09 01:00:00,28.4,0.0,80.7,283,0.9
2024-04-09 02:00:00,28.0,0.0,79.7,170,0.9
2024-04-09 03:00:00,28.4,0.0,76.0,26,1.6
2024-04-09 04:00:00,28.2,0.0,80.0,92,1.0
2024-04-09 05:00:00,28.0,0.0,81.5,29,3.1
2024-04-09 06:00:00,27.6,0.0,82.6,17,2.1
2024-04-09 07:00:00,27.3,0.0,85.7,46,1.2
2024-04-09 08:00:00,27.8,0.0,83.4,20,2.4
2024-04-09 09:00:00,28.7,0.0,80.3,81,1.1
2024-04-09 10:00:00,29.5,0.0,75.0,22,2.4
2024-04-09 11:00:00,31.6,0.0,66.5,41,3.5
2024-04-09 12:00:00,32.3,0.0,63.9,42,4.0
2024-04-09 13:00:00,32.3,0.0,62.7,38,3.4
2024-04-09 14:00:00,32.4,0.0,68.7,247,5.1
2024-04-09 15:00:00,31.4,0.0,69.5,277,7.8
2024-04-09 16:00:00,29.8,0.0,78.2,219,4.7
2024-04-09 17:00:00,31.0,0.0,70.7,228,2.9
2024-04-09 18:00:00,30.7,0.0,73.6,266,4.7
2024-04-09 19:00:00,29.4,0.0,79.3,289,4.2
2024-04-09 20:00:00,29.7,0.0,75.2,38,2.0
2024-04-09 21:00:00,29.2,0.0,80.1,23,1.8
2024-04-09 22:00:00,29.0,0.0,80.2,102,0.8
2024-04-09 23:00:00,29.0,0.0,77.2,200,0.7
2024-04-10 00:00:00,29.0,0.0,77.1,179,0.7
2024-04-10 01:00:00,29.1,0.0,78.2,161,0.7
2024-04-10 02:00:00,29.0,0.0,78.9,128,1.0
2024-04-10 03:00:00,28.8,0.0,81.3,95,0.7
2024-04-10 04:00:00,28.7,0.0,80.3,30,3.0
2024-04-10 05:00:00,28.5,0.0,82.4,11,1.8
2024-04-10 06:00:00,28.2,0.0,83.2,41,3.8
2024-04-10 07:00:00,28.2,0.0,84.2,26,1.7
2024-04-10 08:00:00,27.5,0.0,84.5,280,3.4
2024-04-10 09:00:00,27.3,0.0,83.9,262,7.1
2024-04-10 10:00:00,26.9,0.0,86.1,308,2.2
2024-04-10 11:00:00,27.9,0.0,81.1,27,1.4
2024-04-10 12:00:00,28.4,0.0,81.0,19,1.7
2024-04-10 13:00:00,29.1,0.0,78.9,287,2.5
2024-04-10 14:00:00,29.1,0.0,75.4,279,7.4
2024-04-10 15:00:00,28.5,0.0,81.0,220,6.3
2024-04-10 16:00:00,28.2,0.0,86.2,242,4.5
2024-04-10 17:00:00,24.9,2.8,93.9,333,3.2
2024-04-10 18:00:00,25.6,0.0,95.2,270,5.6
2024-04-10 19:00:00,25.9,0.0,95.4,276,6.1
2024-04-10 20:00:00,27.2,0.0,86.8,32,1.9
2024-04-10 21:00:00,27.5,0.0,84.2,19,1.8
2024-04-10 22:00:00,27.3,0.0,85.6,15,2.5
2024-04-10 23:00:00,27.2,0.0,85.7,14,1.7
2024-04-11 00:00:00,27.6,0.0,84.2,37,2.2
2024-04-11 01:00:00,27.1,0.0,85.5,162,0.9
2024-04-11 02:00:00,27.5,0.0,84.4,42,2.0
2024-04-11 03:00:00,27.0,0.0,86.0,100,1.0
2024-04-11 04:00:00,26.7,0.0,88.5,79,0.7
2024-04-11 05:00:00,27.1,0.0,84.8,195,0.9
2024-04-11 06:00:00,27.2,0.0,84.4,241,0.9
2024-04-11 07:00:00,26.7,0.0,87.2,160,0.9
2024-04-11 08:00:00,26.7,0.0,86.3,153,0.9
2024-04-11 09:00:00,27.2,0.0,84.9,146,0.7
2024-04-11 10:00:00,27.6,0.0,86.1,197,0.7
2024-04-11 11:00:00,28.7,0.0,82.7,30,1.3
2024-04-11 12:00:00,28.0,0.0,84.7,92,1.7
2024-04-11 13:00:00,26.2,2.8,91.1,124,1.4
2024-04-11 14:00:00,28.7,0.0,83.2,164,0.9
2024-04-11 15:00:00,30.8,0.0,69.0,59,1.7
2024-04-11 16:00:00,31.2,0.0,64.7,103,1.5
2024-04-11 17:00:00,31.3,0.0,64.6,178,1.8
2024-04-11 18:00:00,31.4,0.0,59.2,48,2.6
2024-04-11 19:00:00,30.7,0.0,64.4,62,1.6
2024-04-11 20:00:00,29.8,0.0,69.6,82,1.4
2024-04-11 21:00:00,29.2,0.0,73.2,44,0.9
2024-04-11 22:00:00,28.9,0.0,75.3,206,0.9
2024-04-11 23:00:00,28.9,0.0,77.7,33,2.2
2024-04-12 00:00:00,28.8,0.0,76.2,13,2.7
